"Era","Stage","Percent"
"2003-2006","Stage 1","4.5"
"2003-2006","Stage 2","3.1"
"2003-2006","Stage 3","7.9"
"2003-2006","Stage 4","0.6"
"2003-2006","Stage 5","0.1"
"2007-10","Stage 1","4.4"
"2007-10","Stage 2","3.1"
"2007-10","Stage 3","6.7"
"2007-10","Stage 4","0.7"
"2007-10","Stage 5","0.1"
"2011-14","Stage 1","5.4"
"2011-14","Stage 2","3.1"
"2011-14","Stage 3","7.3"
"2011-14","Stage 4","0.5"
"2011-14","Stage 5","0.2"
"2015-2018","Stage 1","5.6"
"2015-2018","Stage 2","3.0"
"2015-2018","Stage 3","6.7"
"2015-2018","Stage 4","0.5"
"2015-2018","Stage 5","0.1"
